Date,Open,High,Low,Close,Volume
2018-01-30,165.53181,167.3718,164.69508,166.968,45704073
2018-01-31,166.85976,168.46246,166.47678,167.43424,32273639
2018-02-01,167.17614,168.63314,166.74737,167.77143,45923903
2018-02-02,166.01054,166.789,160.09929,160.49892,85981615
2018-02-05,159.08355,163.85418,155.98638,156.4776,72244564
2018-02-06,154.83744,163.70432,153.99654,163.02994,68243839
2018-02-07,163.07989,163.39627,159.05025,159.49983,51483031
2018-02-08,160.29078,160.99014,155.05807,155.15798,54182479
2018-02-09,157.09014,157.88616,150.24103,156.42264,70600237
2018-02-12,158.48733,163.88121,157.51303,162.69962,60780641
2018-02-13,161.96993,164.76015,161.67142,164.3497,32484551
2018-02-14,163.03129,167.54623,162.88618,167.3721,40483717
2018-02-15,169.77676,173.1101,169.01805,173.00231,50916265
2018-02-16,172.37212,174.81823,171.75852,172.43431,40121019
2018-02-20,172.04874,174.25024,171.41441,171.84144,33894602
2018-02-21,172.83647,174.10513,170.99981,171.05786,37385710
2018-02-22,171.79169,173.94344,171.70048,172.50479,30955132
2018-02-23,173.66151,175.65986,173.53714,175.51475,33784470
2018-02-26,176.34809,179.39537,176.20713,178.97248,37860930
2018-02-27,179.09686,180.49404,178.1806,178.40034,38928124
2018-02-28,179.2627,180.61842,178.06866,178.13914,37782138
2018-03-01,178.55374,179.7685,172.66234,175.00895,48801969
2018-03-02,172.80745,176.29834,172.45504,176.20713,38453950
2018-03-05,175.22454,177.74528,174.51973,176.8,28401365
2018-03-06,177.91941,178.26352,176.12836,176.6466,23788506
2018-03-07,174.94261,175.85472,174.26268,175.03797,31703461
2018-03-08,175.49403,177.11509,175.07943,176.92438,23774106
